level_0,Date,precipitationCal
0,2018-06-03,79.87899999999999
1,2018-06-10,201.34899999999982
2,2018-06-17,10.585000000000004
3,2018-06-24,166.42099999999994
4,2018-07-01,64.31600000000003
5,2018-07-08,255.0180000000001
6,2018-07-15,283.0219999999998
7,2018-07-22,229.58900000000008
8,2018-07-29,132.4969999999999
9,2018-08-05,16.627
10,2018-08-12,17.545999999999996
11,2018-08-19,238.53099999999995
12,2018-08-26,203.29799999999975
13,2018-09-02,20.719
