,key,key1,k,2018,2019,2020
0,0,0,,,,
1,1,1,,,,
2,2,2,,,,
3,3,3,1.5,114.55849999999994,42.58949999999998,158.96949999999995
4,4,4,2.5,110.66774999999994,109.42124999999996,102.21375000000003
5,5,5,3.5,124.08500000000001,139.69324999999998,94.10600000000004
6,6,6,4.5,192.19424999999995,175.19349999999997,81.86325000000002
7,7,7,5.5,207.98624999999998,192.499,76.07575000000007
8,8,8,6.5,225.03149999999994,238.17775000000003,64.74075
9,9,9,7.5,165.43374999999992,353.4512500000001,87.20950000000003
10,10,10,8.5,99.06474999999998,367.7950000000001,100.02725000000004
11,11,11,9.5,101.30024999999995,343.8335000000001,
12,12,12,10.5,119.00049999999992,233.40475000000004,
13,13,13,11.5,120.02349999999991,85.09275,
