Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2000,1.1574877685447578,4.169643038308569,1.1617713702969206,3.214452216479825,14.289787017593152,29.961797951660444,82.3166014434453,43.8802785710679,8.207615478056303,11.94683489831529,39.742794717144335,159.57278698082908,177.2955373529702,1.6561312270037014,0.023780888875108853,0.3420434320349662,0.9437827703735454,11.2163502634021,2.1480309271055553,0.8902909032990488,0.006271140917350936,6.064098605091619,0.02781379554970737,11.663979087997566,0.053730364202265915,0.8525350386510622,0.006909449196325212,0.014086973629197343,0.0936699574089638,2.1301859937201776e-09,0.019407655576907018
2001,7.488329050031384,0.41505440937123295,3.8421482989925155,0.7750900619236677,0.0802443659529131,1.1832206345034,4.316083501913738,181.3050338348653,251.70458295167853,37.26762103780884,17.148271069524217,31.038096821195843,40.179212923797216,10.331077975789265,0.8472681334054664,4.8838232007555495,28.798127589069423,0.20779394854115837,9.382955094464899,2.469804523042986,4.193235579113286,7.169054409840882,2.8143622684311174,6.120056996257346,0.6697782588671678,2.103728997722186,5.263075039406464,6.288510170031062,1.5163532801284094,0.5990508817378754,1.6384882473350717
2002,0.0453693300732343,0.0024099017162318133,0.2799161117665481,0.0,0.15424632804527533,0.0,0.0,0.0,0.04599869183789521,3.3129238545561868,1.7524806543654066,1.4548590862591373,3.912567773310971,12.286190010987575,3.517331412433801,4.998677898430305,9.876812121200183,103.18600976680142,25.485880527108847,1.5847406163377458,23.587307041261155,21.065764287198274,77.00650883496085,4.123212130072743,2.239913420014305,1.251708351836692,0.00022944120941418368,0.21608848094129865,0.0004414623531105804,0.02075749664568837,0.08012795853624416
2003,14.327993952183151,26.818828910739672,6.746494208394266,2.4408113193445318,0.8666887957722582,4.147615954856584,17.953892700348295,12.80851640717074,35.69655262430395,26.128835998706794,1.4983335172298555,3.7278230126169007,2.900806608808211,36.71147568168797,47.742966245997756,23.403619016483642,3.5262533734550128,2.3787016291137446,2.6677353117242286,1.9747254726614276,6.524853374500187,5.3912323889696685,5.68248303826991,26.34871989700815,65.24288643583664,39.63851186313812,265.8631019410363,23.346661965767712,0.08376008830986445,1.3951380431417775,0.9451820375476327
2004,4.304046462777822,2.5557553514287648,8.177646419944907,41.57613472109255,34.758076856239036,0.03902320140024521,10.230675607155383,16.738141747552707,7.5974200534465925,6.115388794453358,1.0690039152995807,9.658107592965976,1.4161749303664435,0.044668689862240055,1.304687252202666,218.739800799802,43.57937737386867,0.34557006153201825,4.446355313474353,1.2208721011972923,1.941684985979165,0.22767526624741088,2.224322717202019,20.728387702607126,35.24321565492739,103.20221312375392,13.464407765839184,34.23488752572208,89.34672469467009,50.19117789661809,48.951932008114916
2005,15.656569024020394,21.318514454969364,88.56971146411635,34.87733323624157,0.18841472620616762,0.0073174666171948064,0.1060876974947873,1.9131085684857592,23.876160098745157,12.138697758140669,5.1794167986706485,9.278403014016448,0.6212312552758252,0.21598787736486516,4.62633724806914,40.27270084304482,79.78428840488472,54.78315843359869,84.62709776726,65.20609422478621,10.313668878246915,37.44954938022776,4.315024810543144,17.128743238695375,96.481013056792,87.19955085889325,197.4271915608717,10.178267295342767,8.147123654452722,49.564835963214584,195.76553856009573
2006,79.24741095754918,99.63316803634827,204.65253255485575,183.7928141128226,59.579434833681546,9.795080576722128,0.07269606545229185,0.21817538416242138,0.28281404698831164,4.96966740279393e-05,2.369623552751513,0.009096454814005436,0.015475311137155088,0.011377734458822942,2.9377797977442026,1.3004832228290575,1.581070454774704,38.41903704366406,1.067700863801481,24.730129980381058,16.635925872992235,109.61913242293086,61.30279342058191,0.7945036854446204,0.029126172534765384,3.104543218128283,78.83662475216646,117.06945687437023,68.49720959238262,4.867651544437857,14.555198366339436
2007,363.01947446462896,56.75555264637131,5.497964524253743,1.8270134756082927,23.971961395408673,4.950390600510791,44.23583755130834,40.70173519301176,9.20789489350629,1.0204073905648694,0.0,0.12003059551977922,4.797329261088117,0.10535883603271155,1.0016262238317246,0.29942700570182584,0.01849449073677284,0.0784320470760994,0.163089623363533,5.769643477348877,1.2499288447962926,0.3893385846319928,11.720779610104636,38.753922879854215,30.7687354439332,38.49130436039934,28.883124495421544,34.77948151572616,9.463303639967439,2.1221084284571816,9.832128517622133
2008,37.140504376335215,1.9698654561631075,9.775537714319189,3.2763937978246114,0.5246507835701477,1.6609007819888724,8.447316718239449,1.1493984661506782,0.9083408386405142,23.56224102476277,0.5045928512158703,0.9175227087922039,7.419387598728662,0.710688296117315,4.851117787383863,4.689789416338053,0.1737769901032774,0.09585586269582344,0.09833665728579241,1.2542748511961934,8.935909674702797,2.923613724196557,38.836514013249946,77.70542084924664,30.558182939385613,60.00262792516918,105.28781508056962,61.25007785399641,57.38417440817254,5.965944215455655,0.0029739212239506003
2009,2.8182066464989717,12.569080600068297,41.70499952232432,3.6436615317837173,17.445485400902886,39.40609021355866,58.117670954649356,31.529458425915514,40.66727690912389,26.514768500180974,48.08822676667626,0.7496408448965635,19.543889677641843,213.4215706035452,173.17200834310506,16.54840290434085,0.24542584071238766,0.02580626173562032,0.06938206096390856,23.43734208470969,160.8679565007724,173.2587758369294,36.59659683955364,1.9921540096733192,0.00013087946931241863,0.8643650802928413,2.298486587084444,0.047574633298330324,0.018466602983300686,0.8851855228290432,0.7520115268528865
