,Date,precipitationCal,Month_name
143,2020-06-03 23:30:00,0.053,June
144,2020-06-04 00:00:00,0.136,June
145,2020-06-04 00:30:00,0.107,June
146,2020-06-04 01:00:00,0.01,June
147,2020-06-04 01:30:00,0.377,June
148,2020-06-04 02:00:00,0.22899999999999998,June
149,2020-06-04 02:30:00,0.10800000000000001,June
150,2020-06-04 03:00:00,0.10800000000000001,June
151,2020-06-04 03:30:00,0.153,June
152,2020-06-04 04:00:00,0.14,June
153,2020-06-04 04:30:00,0.111,June
154,2020-06-04 05:00:00,0.142,June
155,2020-06-04 05:30:00,0.17300000000000001,June
156,2020-06-04 06:00:00,0.376,June
157,2020-06-04 06:30:00,1.23,June
158,2020-06-04 07:00:00,2.158,June
159,2020-06-04 07:30:00,4.9910000000000005,June
160,2020-06-04 08:00:00,5.989,June
161,2020-06-04 08:30:00,4.587,June
162,2020-06-04 09:00:00,4.558,June
163,2020-06-04 09:30:00,2.675,June
164,2020-06-04 10:00:00,1.97,June
165,2020-06-04 10:30:00,1.062,June
166,2020-06-04 11:00:00,0.6459999999999999,June
167,2020-06-04 11:30:00,0.373,June
168,2020-06-04 12:00:00,0.02,June
169,2020-06-04 12:30:00,0.015,June
170,2020-06-04 13:00:00,0.008,June
171,2020-06-04 13:30:00,0.006,June
172,2020-06-04 14:00:00,0.003,June
173,2020-06-04 14:30:00,0.002,June
174,2020-06-04 15:00:00,0.001,June
175,2020-06-04 15:30:00,0.001,June
176,2020-06-04 16:00:00,0.0,June
177,2020-06-04 16:30:00,0.0,June
178,2020-06-04 17:00:00,0.0,June
179,2020-06-04 17:30:00,0.0,June
180,2020-06-04 18:00:00,0.0,June
181,2020-06-04 18:30:00,0.0,June
182,2020-06-04 19:00:00,0.0,June
183,2020-06-04 19:30:00,0.0,June
184,2020-06-04 20:00:00,0.0,June
185,2020-06-04 20:30:00,0.0,June
186,2020-06-04 21:00:00,0.0,June
187,2020-06-04 21:30:00,0.0,June
188,2020-06-04 22:00:00,0.0,June
189,2020-06-04 22:30:00,0.0,June
190,2020-06-04 23:00:00,0.0,June
191,2020-06-04 23:30:00,0.0,June
192,2020-06-05 00:00:00,0.0,June
193,2020-06-05 00:30:00,0.0,June
194,2020-06-05 01:00:00,0.0,June
195,2020-06-05 01:30:00,0.0,June
196,2020-06-05 02:00:00,0.0,June
197,2020-06-05 02:30:00,0.0,June
198,2020-06-05 03:00:00,0.0,June
199,2020-06-05 03:30:00,0.0,June
200,2020-06-05 04:00:00,0.0,June
201,2020-06-05 04:30:00,0.0,June
202,2020-06-05 05:00:00,0.0,June
203,2020-06-05 05:30:00,0.0,June
204,2020-06-05 06:00:00,0.0,June
205,2020-06-05 06:30:00,0.0,June
206,2020-06-05 07:00:00,0.0,June
207,2020-06-05 07:30:00,0.0,June
208,2020-06-05 08:00:00,0.0,June
209,2020-06-05 08:30:00,0.0,June
210,2020-06-05 09:00:00,0.0,June
211,2020-06-05 09:30:00,0.0,June
212,2020-06-05 10:00:00,0.0,June
213,2020-06-05 10:30:00,0.001,June
214,2020-06-05 11:00:00,0.0,June
215,2020-06-05 11:30:00,0.002,June
216,2020-06-05 12:00:00,0.004,June
217,2020-06-05 12:30:00,0.002,June
218,2020-06-05 13:00:00,0.0,June
219,2020-06-05 13:30:00,0.002,June
220,2020-06-05 14:00:00,0.003,June
221,2020-06-05 14:30:00,0.006,June
222,2020-06-05 15:00:00,0.01,June
223,2020-06-05 15:30:00,0.01,June
224,2020-06-05 16:00:00,0.004,June
225,2020-06-05 16:30:00,0.0,June
226,2020-06-05 17:00:00,0.0,June
227,2020-06-05 17:30:00,0.0,June
228,2020-06-05 18:00:00,0.0,June
229,2020-06-05 18:30:00,0.0,June
230,2020-06-05 19:00:00,0.0,June
231,2020-06-05 19:30:00,0.0,June
232,2020-06-05 20:00:00,0.0,June
233,2020-06-05 20:30:00,0.0,June
234,2020-06-05 21:00:00,0.0,June
235,2020-06-05 21:30:00,0.0,June
236,2020-06-05 22:00:00,0.0,June
237,2020-06-05 22:30:00,0.0,June
238,2020-06-05 23:00:00,0.0,June
239,2020-06-05 23:30:00,0.0,June
240,2020-06-06 00:00:00,0.0,June
241,2020-06-06 00:30:00,0.0,June
242,2020-06-06 01:00:00,0.0,June
243,2020-06-06 01:30:00,0.0,June
244,2020-06-06 02:00:00,0.0,June
245,2020-06-06 02:30:00,0.0,June
246,2020-06-06 03:00:00,0.0,June
247,2020-06-06 03:30:00,0.0,June
248,2020-06-06 04:00:00,0.0,June
249,2020-06-06 04:30:00,0.0,June
250,2020-06-06 05:00:00,0.0,June
251,2020-06-06 05:30:00,0.0,June
252,2020-06-06 06:00:00,0.0,June
253,2020-06-06 06:30:00,0.0,June
254,2020-06-06 07:00:00,0.0,June
255,2020-06-06 07:30:00,0.0,June
256,2020-06-06 08:00:00,0.005,June
257,2020-06-06 08:30:00,0.0,June
258,2020-06-06 09:00:00,0.004,June
259,2020-06-06 09:30:00,0.009000000000000001,June
260,2020-06-06 10:00:00,0.015,June
261,2020-06-06 10:30:00,0.023,June
262,2020-06-06 11:00:00,0.006,June
263,2020-06-06 11:30:00,0.0,June
264,2020-06-06 12:00:00,0.006,June
265,2020-06-06 12:30:00,0.009000000000000001,June
266,2020-06-06 13:00:00,0.013000000000000001,June
267,2020-06-06 13:30:00,0.009000000000000001,June
268,2020-06-06 14:00:00,0.002,June
269,2020-06-06 14:30:00,0.0,June
270,2020-06-06 15:00:00,0.0,June
271,2020-06-06 15:30:00,0.0,June
272,2020-06-06 16:00:00,0.0,June
273,2020-06-06 16:30:00,0.0,June
274,2020-06-06 17:00:00,0.0,June
275,2020-06-06 17:30:00,0.0,June
276,2020-06-06 18:00:00,0.0,June
277,2020-06-06 18:30:00,0.0,June
278,2020-06-06 19:00:00,0.0,June
279,2020-06-06 19:30:00,0.0,June
280,2020-06-06 20:00:00,0.002,June
281,2020-06-06 20:30:00,0.002,June
282,2020-06-06 21:00:00,0.001,June
283,2020-06-06 21:30:00,0.001,June
284,2020-06-06 22:00:00,0.0,June
285,2020-06-06 22:30:00,0.0,June
286,2020-06-06 23:00:00,0.0,June
287,2020-06-06 23:30:00,0.0,June
288,2020-06-07 00:00:00,0.0,June
289,2020-06-07 00:30:00,0.0,June
290,2020-06-07 01:00:00,0.0,June
291,2020-06-07 01:30:00,0.0,June
292,2020-06-07 02:00:00,0.0,June
293,2020-06-07 02:30:00,0.0,June
294,2020-06-07 03:00:00,0.0,June
295,2020-06-07 03:30:00,0.0,June
296,2020-06-07 04:00:00,0.0,June
297,2020-06-07 04:30:00,0.0,June
298,2020-06-07 05:00:00,0.0,June
299,2020-06-07 05:30:00,0.0,June
300,2020-06-07 06:00:00,0.0,June
301,2020-06-07 06:30:00,0.01,June
302,2020-06-07 07:00:00,0.002,June
303,2020-06-07 07:30:00,0.0,June
304,2020-06-07 08:00:00,0.0,June
305,2020-06-07 08:30:00,0.006,June
306,2020-06-07 09:00:00,0.005,June
307,2020-06-07 09:30:00,0.002,June
308,2020-06-07 10:00:00,0.002,June
309,2020-06-07 10:30:00,0.0,June
310,2020-06-07 11:00:00,0.0,June
311,2020-06-07 11:30:00,0.0,June
312,2020-06-07 12:00:00,0.0,June
313,2020-06-07 12:30:00,0.0,June
314,2020-06-07 13:00:00,0.0,June
315,2020-06-07 13:30:00,0.0,June
316,2020-06-07 14:00:00,0.0,June
317,2020-06-07 14:30:00,0.0,June
318,2020-06-07 15:00:00,0.0,June
319,2020-06-07 15:30:00,0.0,June
320,2020-06-07 16:00:00,0.0,June
321,2020-06-07 16:30:00,0.0,June
322,2020-06-07 17:00:00,0.0,June
323,2020-06-07 17:30:00,0.0,June
324,2020-06-07 18:00:00,0.0,June
325,2020-06-07 18:30:00,0.0,June
326,2020-06-07 19:00:00,0.0,June
327,2020-06-07 19:30:00,0.0,June
328,2020-06-07 20:00:00,0.0,June
329,2020-06-07 20:30:00,0.0,June
330,2020-06-07 21:00:00,0.0,June
331,2020-06-07 21:30:00,0.0,June
332,2020-06-07 22:00:00,0.001,June
333,2020-06-07 22:30:00,0.003,June
334,2020-06-07 23:00:00,0.006,June
335,2020-06-07 23:30:00,0.013999999999999999,June
336,2020-06-08 00:00:00,0.015,June
337,2020-06-08 00:30:00,0.015,June
338,2020-06-08 01:00:00,0.008,June
339,2020-06-08 01:30:00,0.01,June
340,2020-06-08 02:00:00,0.003,June
341,2020-06-08 02:30:00,0.001,June
342,2020-06-08 03:00:00,0.0,June
343,2020-06-08 03:30:00,0.0,June
344,2020-06-08 04:00:00,0.0,June
345,2020-06-08 04:30:00,0.0,June
346,2020-06-08 05:00:00,0.0,June
347,2020-06-08 05:30:00,0.0,June
348,2020-06-08 06:00:00,0.0,June
349,2020-06-08 06:30:00,0.0,June
350,2020-06-08 07:00:00,0.0,June
351,2020-06-08 07:30:00,0.0,June
352,2020-06-08 08:00:00,0.0,June
353,2020-06-08 08:30:00,0.0,June
354,2020-06-08 09:00:00,0.0,June
355,2020-06-08 09:30:00,0.0,June
356,2020-06-08 10:00:00,0.001,June
357,2020-06-08 10:30:00,0.001,June
358,2020-06-08 11:00:00,0.001,June
359,2020-06-08 11:30:00,0.001,June
360,2020-06-08 12:00:00,0.0,June
