Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2000,15.37433778504551,25.502878140212346,64.14465741994786,28.498881473082207,76.21672737098199,55.02604854219978,57.9038396239798,31.559427488153233,8.962903012248145,13.547698417832713,0.012480494636745556,0.04954115408753787,1.769709611693819,0.18237071966489699,0.03489736700962841,0.0005472817777966551,0.0013456884689629618,0.0,0.7818580168684092,0.5806998183469162,2.5281184875234635,0.0,0.06284555315409572,0.09693002655543423,1.9719813713819645,3.7102754122631234,2.140146848720573,3.1411871616891274,50.90598430015103,30.87856466090121
2001,0.0,0.00014523777907600425,0.0,0.005738006432553632,0.010320577714106292,10.40469723914107,121.52157304495739,2.3223841226026285,25.71408675931004,1.6294545539625145,9.776441405220188,7.356523304144187,17.372927718992816,86.71649277437191,35.7378471389553,4.376408270272015,20.40735543814112,2.158056889031382,0.14678429813180133,0.05821476910974677,1.5655996125054307e-05,8.287336604229956e-11,0.00015174839618722343,0.031113815603640592,0.0,0.04807974411287621,3.1603786821208075,0.377671881005217,1.0292820653910586,0.04517344945755005
2002,1.2777810598684018,4.220667032350671,1.889529856965554,1.0563981818969934,0.0,0.0,0.033507179880208196,2.5869620918107556,17.27270647177442,39.92014453622271,91.94590062909053,2.7582231067611023,67.73706891510643,12.836369228781855,29.12859309751864,1.5727820431054755,2.7163978055158977,3.0165277253947504,2.9601617892155128,1.079496627460614,0.10511864509489972,1.3543936819984514,2.6369368674584006,27.331393015894808,128.99155610277916,86.2631799051282,15.283050468902292,1.526456511896996e-06,0.05120920302201496,0.07798050441092017
2003,0.10926474085876778,0.0,0.0,0.0,0.0,0.0,0.0,2.6544056905113704,34.36237175394683,74.52666725976802,10.133417338019989,12.85106724555671,7.722037976971982,24.658146234710447,92.97476670112887,10.520352336323878,15.105471596778614,5.570923561030551,53.27673059205754,12.492343107020911,44.23636032916857,9.30239901489908,13.387910119602356,10.916107862465678,7.612938568581717,1.9528630530818922,6.470430334613425,16.049983772586245,21.998200603555812,2.9832900506945306
2004,12.515055665544839,22.543468753639544,4.714950328640583,12.307871900377489,45.215896513578066,4.850776051918554,10.760878727066643,2.0286989045184676,10.763544220024883,0.5410825121841708,0.5957719807431612,3.1493131138926533,22.702581946578274,243.4344366949647,108.06274478720471,5.114007333270321,2.375769253649945,9.094559387871453,0.11487453004786512,0.06891093941194462,0.08676268585474836,0.012692600651766453,0.0,0.3131225547042624,0.0002869760051618206,12.388104087398803,0.08404458801165474,1.6277697515193024,0.30726585607627416,1.474977057182376
2005,2.9438776547287775,1.0463361905893096,0.0,0.008006794648825716,0.0,0.0,0.01812536972805726,0.10250857654207995,0.0,47.062465949617035,4.801571121701573,3.910280865609904,46.7904978650056,39.2442546144194,0.00019371071481135183,22.273242828738553,12.33208720464467,6.38546038258777,3.662028717837853,8.397653758071872,0.5063800474231752,1.111095110655398,6.833702548503064,2.78463808540568,29.979396671595456,124.65335562670904,49.01128670446652,62.58497360754373,85.2731939442429,16.614226092994606
2006,42.183245899608885,26.353338816839315,7.582777308296408,2.6221436611822826,0.23694201383144933,0.021724589202017374,0.08431721721229628,0.2128093695002725,0.17211177308755296,0.011612909774118036,0.0,0.0,0.00530531121152959,1.5589982893757914,0.8867509499240823,5.168999106459677,5.375154316143149,54.2193213676879,35.600674924194344,34.30047608076409,17.93574812674981,84.49385393313682,87.90005803571108,28.81119168731078,1.5274851450842386,5.0579873677693765,15.643990449232847,32.21710548387898,15.590513436264017,11.999522573259263
2007,19.751980736119872,11.0792708784556,6.466491061643317,3.5748206640708053,27.284739080039127,11.078227397728812,7.421082166553561,67.8668818343203,1.7816928160145415,0.06917716483918034,0.0,5.743433591343712,23.05128983576163,30.20705638516763,1.1374096161301688,0.7982827397517127,2.2709426150385377,0.43573257374018864,0.7356731048314818,40.79122609465013,25.90159064354049,162.7207772310763,57.69332782910934,23.74224775879714,2.003020878369585,1.9077105132635732,5.74019124728526,62.16488849728322,45.66355222634715,81.19760349399503
2008,3.9758126202153132,0.0,54.36777390924352,13.88128444973875,0.2785808565191929,38.82042096834573,14.97833902808777,32.380640682538626,19.024144470761662,7.310154721873347,5.8930007983050405,15.742310380964375,6.755619162543424,72.77908814226718,2.619435291586953,0.22498035029382993,0.25430913716984865,5.734723569078092,0.01712757341947233,0.2179025914161584,3.9468624817902884,0.1535939265711454,0.013890883257319474,0.8688192295469789,2.3893276614489194,2.6015094200719115,0.5444738918504661,5.324149759814983,114.4746672625795,76.05757518656209
2009,2.6300497554534923,1.1719882072444912,0.006622527834136296,0.006538529024947202,16.298508670828078,81.79666033326187,12.710837218296547,0.028024352109522744,2.3420130134804365e-06,0.09651956674761615,0.8749137164502688,0.00227112414908528,0.11841838655150382,0.09837716757465419,0.05439232742387645,0.0,0.18981392801108082,16.553283303777697,50.82201268331543,81.98778841066381,37.27020826428723,4.1387263248693955,1.084001681739009,0.4438869412717078,1.8682834263430002,1.511961902983211,0.8767550993403584,0.7135445913386463,2.937515431371586,2.2619516928949412
2010,3.5144164417119717,8.421055696220384,0.6973121218605122,0.0,0.0,0.03777026005413171,1.0164848266529531,2.15941209118328,10.505394311703922,49.719764176334664,196.7212287621922,65.58351880795647,10.469227160829146,59.77392742515688,64.99471868248064,31.94789738696546,4.282872542515459,40.25545591610325,0.6356933415897148,37.87146398105656,1.088536692364823,21.81384440104771,8.710621542206423,1.4212643717159772,0.08317464540223538,2.741295369149279,9.69802458621357,6.969640794410217,2.405998465708409,16.94988828297058
2011,2.177083029256892,84.42849941233541,89.51442444105366,10.730215693009049,24.84879989290376,5.835424015111988,0.17939636464123865,5.986000766438622,38.122692473004555,125.10842699828697,40.913354211322186,6.319809469659505,1.4882465048977729,3.5795170763683486,2.353596180643781,20.527978127834427,6.156063045859413,0.0004115098867985228,0.4602733573372168,2.24069848452192,5.2389174136465195,1.751414700896129,0.0,0.4233139934193939,21.296143320326475,41.67051687343452,5.754998950397649,6.508904010168809,0.9876735093094826,0.009270583546835498
