system:time_start,precipitationCal
"Jun 5, 2018",0.044
"Jun 5, 2018",0
"Jun 5, 2018",0
"Jun 5, 2018",0
"Jun 5, 2018",0
"Jun 5, 2018",0.006
"Jun 5, 2018",0.007
"Jun 5, 2018",0.015
"Jun 5, 2018",0.02
"Jun 5, 2018",0.013
"Jun 5, 2018",0.011
"Jun 5, 2018",0.004
"Jun 5, 2018",0
"Jun 5, 2018",0.013
"Jun 5, 2018",0.017
"Jun 5, 2018",0.021
"Jun 5, 2018",0.16
"Jun 5, 2018",0.084
"Jun 5, 2018",0.036
"Jun 6, 2018",0.072
"Jun 6, 2018",0.695
"Jun 6, 2018",0.026
"Jun 6, 2018",0.018
"Jun 6, 2018",0.008
"Jun 6, 2018",0.007
"Jun 6, 2018",0.003
"Jun 6, 2018",0.002
"Jun 6, 2018",0.001
"Jun 6, 2018",0
"Jun 6, 2018",0.066
"Jun 6, 2018",0.082
"Jun 6, 2018",0.169
"Jun 6, 2018",0.304
"Jun 6, 2018",0.59
"Jun 6, 2018",0.659
"Jun 6, 2018",3.407
"Jun 6, 2018",4.689
"Jun 6, 2018",4.568
"Jun 6, 2018",7.883
"Jun 6, 2018",10.395
"Jun 6, 2018",11.606
"Jun 6, 2018",10.13
"Jun 6, 2018",9.232
"Jun 6, 2018",4.81
"Jun 6, 2018",5.611
"Jun 6, 2018",4.394
"Jun 6, 2018",3.311
"Jun 6, 2018",1.55
"Jun 6, 2018",0.847
"Jun 6, 2018",0.288
"Jun 6, 2018",0.258
"Jun 6, 2018",0.175
"Jun 6, 2018",0.085
"Jun 6, 2018",0.463
"Jun 6, 2018",0.567
"Jun 6, 2018",0.889
"Jun 6, 2018",0.651
"Jun 6, 2018",0.441
"Jun 6, 2018",0.271
"Jun 6, 2018",0.066
"Jun 6, 2018",0.251
"Jun 6, 2018",0.231
"Jun 6, 2018",0.211
"Jun 6, 2018",0.491
"Jun 6, 2018",0.715
"Jun 6, 2018",0.821
"Jun 6, 2018",0.652
"Jun 7, 2018",0.794
"Jun 7, 2018",0.208
"Jun 7, 2018",0.126
"Jun 7, 2018",0.001
"Jun 7, 2018",0.006
"Jun 7, 2018",0.005
"Jun 7, 2018",0.005
"Jun 7, 2018",0.004
"Jun 7, 2018",0.133
"Jun 7, 2018",0.117
"Jun 7, 2018",0.115
"Jun 7, 2018",0.057
"Jun 7, 2018",0.036
"Jun 7, 2018",0.024
"Jun 7, 2018",0.017
"Jun 7, 2018",0.016
"Jun 7, 2018",0.021
"Jun 7, 2018",0.017
"Jun 7, 2018",0.021
"Jun 7, 2018",0.017
"Jun 7, 2018",0.028
"Jun 7, 2018",0.031
"Jun 7, 2018",0.013
"Jun 7, 2018",0.005
"Jun 7, 2018",0.009
"Jun 7, 2018",0.013
"Jun 7, 2018",0.005
"Jun 7, 2018",0.011
"Jun 7, 2018",0.013
"Jun 7, 2018",0.019
"Jun 7, 2018",0.08
"Jun 7, 2018",0.114
"Jun 7, 2018",0.134
"Jun 7, 2018",0.283
"Jun 7, 2018",0.313
"Jun 7, 2018",0.592
"Jun 7, 2018",0.735
"Jun 7, 2018",0.481
"Jun 7, 2018",0.413
"Jun 7, 2018",0.196
"Jun 7, 2018",0.104
"Jun 7, 2018",0.078
"Jun 7, 2018",0
"Jun 7, 2018",0.009
"Jun 7, 2018",0.005
"Jun 7, 2018",0.004
"Jun 7, 2018",0
"Jun 7, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0
"Jun 8, 2018",0.031
"Jun 8, 2018",0.082
"Jun 8, 2018",0.153
"Jun 8, 2018",0.212
"Jun 8, 2018",0.319
"Jun 8, 2018",0.601
"Jun 8, 2018",0.647
"Jun 8, 2018",0.85
"Jun 8, 2018",0.744
"Jun 8, 2018",1.152
"Jun 8, 2018",1.577
"Jun 8, 2018",2.727
"Jun 8, 2018",2.975
"Jun 8, 2018",6.577
"Jun 8, 2018",7.789
"Jun 8, 2018",11.361
"Jun 8, 2018",6.572
"Jun 8, 2018",6.881
"Jun 8, 2018",6.981
"Jun 8, 2018",7.307
"Jun 8, 2018",5.241
"Jun 8, 2018",3.451
"Jun 8, 2018",2.714
"Jun 8, 2018",1.463
"Jun 8, 2018",1.074
"Jun 8, 2018",0.737
"Jun 8, 2018",0.649
"Jun 8, 2018",0.387
"Jun 8, 2018",0.51
"Jun 8, 2018",0.435
"Jun 8, 2018",0.207
"Jun 8, 2018",0
"Jun 8, 2018",0.208
"Jun 8, 2018",0.388
"Jun 8, 2018",0.288
"Jun 8, 2018",0.207
"Jun 8, 2018",0.182
"Jun 8, 2018",0.1
"Jun 9, 2018",0.072
"Jun 9, 2018",0.085
"Jun 9, 2018",0.065
"Jun 9, 2018",0.041
"Jun 9, 2018",0.024
"Jun 9, 2018",0.018
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0.003
"Jun 9, 2018",0.004
"Jun 9, 2018",0.009
"Jun 9, 2018",0.017
"Jun 9, 2018",0.029
"Jun 9, 2018",0.055
"Jun 9, 2018",0.059
"Jun 9, 2018",0.047
"Jun 9, 2018",0.022
"Jun 9, 2018",0.011
"Jun 9, 2018",0.009
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0
"Jun 9, 2018",0.008
"Jun 9, 2018",0.01
"Jun 9, 2018",0.017
"Jun 9, 2018",0
"Jun 9, 2018",0.045
"Jun 9, 2018",0.057
"Jun 9, 2018",0.095
"Jun 9, 2018",0.199
"Jun 9, 2018",0.244
"Jun 9, 2018",0.409
"Jun 9, 2018",0.54
"Jun 9, 2018",0.117
"Jun 9, 2018",0.225
"Jun 9, 2018",0.31
"Jun 9, 2018",0.173
