,Amplitude,Frequency
0,16.595506875552363,0.0
1,12.964509171724606,0.0027397260273972603
2,5.472924281849295,0.005479452054794521
3,0.4238877832263745,0.008219178082191782
4,2.4830881062459254,0.010958904109589041
5,1.9600157671984422,0.0136986301369863
6,1.7838560872235716,0.016438356164383564
7,3.2107434011477207,0.019178082191780823
8,5.251699650157412,0.021917808219178082
9,5.808146196320815,0.024657534246575342
10,5.065310997867832,0.0273972602739726
11,5.437403598365127,0.030136986301369864
12,6.312572394444443,0.03287671232876713
13,5.748670766423946,0.03561643835616438
14,4.833683705464408,0.038356164383561646
15,3.5150438181103,0.0410958904109589
16,1.0100726499830304,0.043835616438356165
17,2.06500034020306,0.04657534246575343
18,3.747430929570972,0.049315068493150684
19,4.293064916168488,0.052054794520547946
20,4.934636620842885,0.0547945205479452
21,5.541110133825692,0.057534246575342465
22,4.756101592371724,0.06027397260273973
23,3.060274038351132,0.06301369863013699
24,1.7046304820512368,0.06575342465753425
25,1.6433109392627794,0.0684931506849315
26,0.943338085800887,0.07123287671232877
27,0.9429991518982456,0.07397260273972603
28,1.5990539972681772,0.07671232876712329
29,1.0514208602165036,0.07945205479452055
30,0.7664353146103563,0.0821917808219178
31,3.021692377766063,0.08493150684931507
32,4.225623447061887,0.08767123287671233
33,4.189213178197937,0.09041095890410959
34,3.4294045192248315,0.09315068493150686
35,2.169460611123439,0.0958904109589041
36,2.636757375676245,0.09863013698630137
37,3.9703871901947108,0.10136986301369863
38,3.5771345674128385,0.10410958904109589
39,1.512460021559594,0.10684931506849316
40,0.8018517195704667,0.1095890410958904
41,1.9041354470599177,0.11232876712328767
42,2.627593403762816,0.11506849315068493
43,3.1511363512634807,0.1178082191780822
44,3.3940970680404083,0.12054794520547946
45,3.8138472623840336,0.12328767123287672
46,4.686622903601936,0.12602739726027398
47,4.842475567649055,0.12876712328767123
48,3.52428650835104,0.1315068493150685
49,1.3958562841803237,0.13424657534246576
50,0.46162458198376966,0.136986301369863
51,0.6475173454364784,0.13972602739726028
52,0.9709544424754463,0.14246575342465753
53,0.6577898125594638,0.1452054794520548
54,1.2261331600792633,0.14794520547945206
55,1.945234690090754,0.1506849315068493
56,2.1715390262649974,0.15342465753424658
57,2.813146584037485,0.15616438356164383
58,4.066246635400389,0.1589041095890411
59,4.536523653470164,0.16164383561643836
60,3.4142381537393747,0.1643835616438356
61,1.852380037245209,0.16712328767123288
62,1.8947926225054017,0.16986301369863013
63,2.212626768097218,0.1726027397260274
64,2.092770899387847,0.17534246575342466
65,2.070870858716351,0.1780821917808219
66,1.975409625425461,0.18082191780821918
67,1.8140535360758476,0.18356164383561643
68,2.07997496784685,0.1863013698630137
69,2.5360458179628576,0.18904109589041096
70,2.7672758872787817,0.1917808219178082
71,2.5135665577188244,0.19452054794520549
72,1.1947830440078817,0.19726027397260273
73,0.7305102925378499,0.2
74,1.5459042957880167,0.20273972602739726
75,1.8164691935514836,0.2054794520547945
76,1.94848879784721,0.20821917808219179
77,2.58172880456707,0.21095890410958903
78,3.364773520511619,0.2136986301369863
79,3.71567321359041,0.21643835616438356
80,3.2967916586699277,0.2191780821917808
81,2.5195133911755114,0.2219178082191781
82,1.3729651647076953,0.22465753424657534
83,1.4623031170623413,0.2273972602739726
84,2.738859892334913,0.23013698630136986
85,3.223897376229125,0.23287671232876714
86,2.8106289063374565,0.2356164383561644
87,2.2048404728937,0.23835616438356164
88,1.8823201004499615,0.2410958904109589
89,1.8491181447914613,0.24383561643835616
90,1.7631433731332873,0.24657534246575344
91,1.4330800877739158,0.2493150684931507
92,0.6464169097239008,0.25205479452054796
93,0.7630693247206664,0.2547945205479452
94,1.6462605908782548,0.25753424657534246
95,1.6211821143780476,0.2602739726027397
96,1.990325098016707,0.263013698630137
97,2.4871574886992303,0.26575342465753427
98,2.9191633185716626,0.2684931506849315
99,3.3032675300191223,0.27123287671232876
100,3.0149567678659714,0.273972602739726
101,2.0471977982642,0.2767123287671233
102,1.1989081200995144,0.27945205479452057
103,1.4062648332532948,0.2821917808219178
104,2.4161811242867857,0.28493150684931506
105,3.10882737027607,0.2876712328767123
106,3.2536279152021077,0.2904109589041096
107,2.5510357018924843,0.29315068493150687
108,1.1618791925271743,0.2958904109589041
109,0.27106907934712976,0.29863013698630136
110,0.20204762614274543,0.3013698630136986
111,0.39278319755324,0.3041095890410959
112,0.7704666768262457,0.30684931506849317
113,0.8321008146790619,0.3095890410958904
114,0.40257434057316205,0.31232876712328766
115,0.5992363402911496,0.3150684931506849
116,2.0826902411551216,0.3178082191780822
117,3.4050367756311473,0.32054794520547947
118,3.635369005969689,0.3232876712328767
119,2.8760776320199177,0.32602739726027397
120,1.8240964377538822,0.3287671232876712
121,1.8351538663613434,0.3315068493150685
122,1.8537317246274696,0.33424657534246577
123,1.3281534375108346,0.336986301369863
124,1.5599770916195232,0.33972602739726027
125,2.711231645361902,0.3424657534246575
126,3.2611715021884358,0.3452054794520548
127,3.0740885106182967,0.34794520547945207
128,1.9443023224896736,0.3506849315068493
129,1.0601565717798604,0.35342465753424657
130,0.7733422905476383,0.3561643835616438
131,0.4685480369801458,0.3589041095890411
132,1.2130421730505205,0.36164383561643837
133,1.7399006809769633,0.3643835616438356
134,0.8585060736224349,0.36712328767123287
135,1.4411292521458146,0.3698630136986301
136,2.8596357423074577,0.3726027397260274
137,3.3778654224168885,0.37534246575342467
138,2.8180688371300695,0.3780821917808219
139,1.9442327918218496,0.38082191780821917
140,1.7972366152464552,0.3835616438356164
141,2.1230369532732114,0.3863013698630137
