,dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,totalcritical,ventilatorpatients,totalsamples,totalconfirmed,totalhospital,totalrecovered,totaldeceased,totalhousesurvey,populationcovered,housescovered,flu,active_hosp,active_home,Date
306,3607,331,291.0,2,142.0,,1068307,194640,1558,188286,4796,,,,,829.0,729.0,13.2.2021
307,3508,354,248.0,3,145.0,,1071815,194994,1661,188534,4799,,,,,863.0,798.0,14.2.2021
308,2376,193,169.0,2,151.0,,1074191,195187,1683,188703,4801,,,,,902.0,781.0,15.2.2021
309,2620,309,272.0,1,142.0,,1076811,195496,1719,188975,4802,,,,,,,16.2.2021
310,4304,428,262.0,4,145.0,,1081115,195924,1881,189237,4806,,,,,991.0,890.0,17.2.2021
311,4424,465,184.0,6,154.0,,1085539,196389,2156,189421,4812,,,,,1070.0,1086.0,18.2.2021
312,4254,527,280.0,4,159.0,,1089793,196916,2399,189701,4816,,,,,1132.0,1267.0,19.2.2021
313,4634,414,247.0,5,160.0,,1094427,197330,2561,189948,4821,,,,,1195.0,1366.0,20.2.2021
314,4707,634,294.0,5,164.0,,1099134,197964,2896,190242,4826,,,,,1284.0,1612.0,21.2.2021
315,4414,328,318.0,4,172.0,,1103548,198292,2902,190560,4830,,,,,1384.0,1518.0,22.2.2021
316,4606,661,358.0,4,201.0,,1108154,198953,3201,190918,4834,,,,,1453.0,1748.0,23.2.2021
317,6514,743,2382.0,3,207.0,,1114668,199696,3559,191300,4837,,,,,1984.0,1575.0,24.2.2021
318,6556,766,391.0,4,231.0,,1121224,200462,3930,191691,4841,,,,,2056.0,1874.0,25.2.2021
319,7108,727,398.0,6,245.0,,1128332,201189,4253,192089,4847,,,,,2089.0,2164.0,26.2.2021
320,8041,739,412.0,6,260.0,,1136373,201928,4574,192501,4853,,,,,2104.0,2470.0,27.2.2021
321,7473,774,427.0,2,261.0,,1143846,202702,4919,192928,4855,,,,,2449.0,2470.0,28.2.2021
322,4815,406,415.0,4,262.0,,1148661,203108,4906,193343,4859,,,,,1990.0,2913.0,1.3.2021
323,6124,688,498.0,5,278.0,,1154785,203796,5091,193841,4864,,,,,2428.0,2663.0,2.3.2021
324,8013,853,388.0,5,281.0,,1162798,204649,5551,194229,4869,,,,,2428.0,3123.0,3.3.2021
325,7585,904,562.0,7,294.0,,1170383,205553,5886,194791,4876,,,,,2491.0,3395.0,4.3.2021
326,7267,830,551.0,5,300.0,,1177650,206383,6160,195342,4881,,,,,2491.0,3669.0,5.3.2021
327,7609,963,659.0,4,321.0,,1185259,207346,6460,196001,4885,,,,,2506.0,3954.0,6.3.2021
328,6743,984,750.0,5,341.0,,1192002,208330,6689,196751,4890,,,,,2589.0,4100.0,7.3.2021
329,6534,753,700.0,7,358.0,,1198536,209083,6735,196751,4897,,,,,2551.0,4184.0,8.3.2021
330,6090,1086,795.0,6,321.0,,1204626,210169,7020,198246,4903,,,,,2608.0,4412.0,9.3.2021
331,7721,1352,646.0,7,364.0,,1212347,211521,7719,198892,4910,,,,,3010.0,4709.0,10.3.2021
332,8553,1504,675.0,7,357.0,,1220900,213025,8541,199567,4917,,,,,3550.0,4991.0,11.3.2021
333,8602,1805,598.0,8,341.0,,1229502,214830,9740,200165,4925,,,,,2922.0,6818.0,12.3.2021
334,9762,1633,638.0,12,351.0,,1239264,216463,10723,200803,4937,,,,,4020.0,6703.0,13.3.2021
335,9122,1740,858.0,15,355.0,,1248396,218203,11590,201661,4952,,,,,4667.0,6923.0,14.3.2021
336,7266,1082,678.0,10,370.0,,1255652,219285,11984,202339,4962,,,,,5112.0,6872.0,15.3.2021
337,8044,1925,677.0,7,394.0,,1263696,221210,13225,203016,4969,,,,,3328.0,9897.0,16.3.2021
338,11230,2587,769.0,11,425.0,,1274926,223797,15032,203785,4980,,,,,3928.0,11104.0,17.3.2021
339,11835,2752,885.0,22,440.0,,1286761,226549,16877,204670,5002,,,,,4789.0,12088.0,18.3.2021
340,12625,2834,499.0,15,499.0,,1299386,229383,18888,205478,5017,,,,,3705.0,15183.0,19.3.2021
341,14484,3111,1094.0,16,538.0,,1313870,232494,20889,206572,5033,,,,,9679.0,11210.0,20.3.2021
342,12929,2900,1245.0,20,519.0,,1326799,235394,22524,207817,5053,,,,,9790.0,12734.0,21.3.2021
343,11890,2342,1789.0,15,524.0,,1338689,237736,23062,209606,5068,,,,,2942.0,20120.0,22.3.2021
344,11310,3098,1698.0,22,555.0,,1349999,240834,24440,211304,5090,,,,,3002.0,21438.0,23.3.2021
345,16185,3509,1410.0,24,589.0,,1366184,244343,26515,212714,5114,,,,,3004.0,23511.0,24.3.2021
346,16578,3286,1200.0,23,599.0,,1382762,247629,28578,213914,5137,,,,,3122.0,25456.0,25.3.2021
347,16799,3594,2165.0,24,612.0,,1399561,251223,29983,216079,5161,,,,,3365.0,26618.0,26.3.2021
348,17633,3463,2584.0,30,621.0,,1417194,254686,30832,218663,5191,,,,,3503.0,27329.0,27.3.2021
349,16804,4426,2107.0,28,645.0,,1433998,259112,33123,220770,5219,,,,,3217.0,29906.0,28.3.2021
350,15153,2547,2771.0,24,674.0,,1449151,261659,32875,223541,5243,,,,,4343.0,28532.0,29.3.2021
351,13436,3226,3268.0,27,725.0,,1462587,264885,32806,226809,5270,,,,,4849.0,27957.0,30.3.2021
352,16446,4458,3374.0,32,799.0,,1479033,269343,33858,230183,5302,,,,,5811.0,28047.0,31.3.2021
353,20681,4103,2077.0,35,825.0,,1499714,273446,35849,232260,5337,,,,,5439.0,30410.0,1.4.2021
354,20073,4653,3337.0,39,475.0,,1519787,278099,37126,235597,5376,,,,,5554.0,31572.0,2.4.2021
355,20066,5720,3293.0,35,837.0,,1539853,283819,39518,238890,5411,,,,,5669.0,33849.0,3.4.2021
356,17774,6225,3762.0,41,901.0,,1557627,290044,41940,242652,5452,,,,,6145.0,35795.0,4.4.2021
357,18720,4077,3240.0,36,919.0,,1576347,294121,42741,245892,5488,,,,,6269.0,36472.0,5.4.2021
358,17389,5600,3481.0,38,915.0,,1593736,299721,44822,249373,5526,,,,,6421.0,38401.0,6.4.2021
359,26120,5651,4361.0,41,957.0,,1619856,305372,46071,253734,5567,,,,,6556.0,39515.0,7.4.2021
360,23595,7010,4099.0,43,999.0,,1643451,312382,48939,257833,5610,,,,,7168.0,41771.0,8.4.2021
361,27986,5647,4587.0,44,1003.0,,1671437,318029,49955,262420,5654,,,,,7471.0,42484.0,9.4.2021
362,25504,4953,4389.0,46,1014.0,,1696941,322982,50473,266809,5700,,,,,7476.0,42997.0,10.4.2021
363,24773,6679,4628.0,48,1045.0,,1721714,329661,52476,271437,5748,,,,,7822.0,44654.0,11.4.2021
364,22466,4849,3896.0,53,1050.0,,1744180,334510,53376,275333,5801,,,,,7977.0,45399.0,12.4.2021
365,21166,5313,4573.0,55,1086.0,,1765346,339823,54061,279906,5856,,,,,8033.0,46028.0,13.4.2021
