system:time_start,NDVI
18-Feb-00,2839.19
05-Mar-00,2688.88
21-Mar-00,2482.60
06-Apr-00,2451.30
22-Apr-00,2262.49
08-May-00,2366.91
24-May-00,2667.22
09-Jun-00,3080.02
25-Jun-00,2845.36
11-Jul-00,3757.02
27-Jul-00,4131.57
12-Aug-00,2089.54
28-Aug-00,4163.48
13-Sep-00,4955.43
29-Sep-00,5210.03
15-Oct-00,5159.77
31-Oct-00,4490.20
16-Nov-00,4166.35
02-Dec-00,3709.38
18-Dec-00,3476.47
01-Jan-01,3399.38
17-Jan-01,3095.85
02-Feb-01,2909.62
18-Feb-01,2597.60
06-Mar-01,2531.54
22-Mar-01,2417.30
07-Apr-01,2429.26
23-Apr-01,2266.52
09-May-01,2279.62
25-May-01,2464.07
10-Jun-01,864.75
26-Jun-01,1469.23
12-Jul-01,1780.93
28-Jul-01,1988.17
13-Aug-01,4382.36
29-Aug-01,4421.77
14-Sep-01,5173.45
30-Sep-01,5004.57
16-Oct-01,5066.20
01-Nov-01,4767.70
17-Nov-01,4408.53
03-Dec-01,4068.17
19-Dec-01,3750.10
01-Jan-02,3446.84
17-Jan-02,3277.20
02-Feb-02,3008.89
18-Feb-02,2816.17
06-Mar-02,2574.58
22-Mar-02,2428.36
07-Apr-02,2542.21
23-Apr-02,2464.56
09-May-02,2500.18
25-May-02,2480.05
10-Jun-02,2483.02
26-Jun-02,3272.17
12-Jul-02,2894.40
28-Jul-02,3489.61
13-Aug-02,3757.36
29-Aug-02,4639.33
14-Sep-02,4818.56
30-Sep-02,4268.40
16-Oct-02,4306.02
01-Nov-02,3919.63
17-Nov-02,3614.92
03-Dec-02,3408.33
19-Dec-02,3268.48
01-Jan-03,3169.96
17-Jan-03,3032.44
02-Feb-03,2824.30
18-Feb-03,2639.90
06-Mar-03,2432.72
22-Mar-03,2332.39
07-Apr-03,2414.72
23-Apr-03,2300.47
09-May-03,2143.94
25-May-03,2160.89
10-Jun-03,1845.06
26-Jun-03,1505.35
12-Jul-03,1306.53
28-Jul-03,2723.34
13-Aug-03,3737.18
29-Aug-03,3590.76
14-Sep-03,4154.64
30-Sep-03,4387.19
16-Oct-03,3912.26
01-Nov-03,3734.57
17-Nov-03,3416.58
03-Dec-03,3149.33
19-Dec-03,3136.31
01-Jan-04,2854.61
17-Jan-04,2775.03
02-Feb-04,2610.33
18-Feb-04,2438.81
05-Mar-04,2325.24
21-Mar-04,2252.65
06-Apr-04,2226.63
22-Apr-04,2119.98
08-May-04,2317.13
24-May-04,2583.38
09-Jun-04,2383.08
25-Jun-04,3211.44
11-Jul-04,3382.75
27-Jul-04,1984.98
12-Aug-04,4031.03
28-Aug-04,4755.15
13-Sep-04,5100.65
29-Sep-04,5536.58
15-Oct-04,4756.22
31-Oct-04,4581.25
16-Nov-04,4353.00
02-Dec-04,4073.72
18-Dec-04,3808.80
01-Jan-05,3534.73
17-Jan-05,3357.43
02-Feb-05,3123.56
18-Feb-05,2916.54
06-Mar-05,2825.03
22-Mar-05,2590.58
07-Apr-05,2588.44
23-Apr-05,2637.10
09-May-05,2564.15
25-May-05,2692.50
10-Jun-05,2807.95
26-Jun-05,2311.19
12-Jul-05,3222.80
28-Jul-05,2360.30
13-Aug-05,4924.39
29-Aug-05,5029.32
14-Sep-05,4783.39
30-Sep-05,5825.73
16-Oct-05,5358.52
01-Nov-05,4545.85
17-Nov-05,4079.92
03-Dec-05,3844.21
19-Dec-05,3739.24
01-Jan-06,3642.47
17-Jan-06,3483.77
02-Feb-06,3245.62
18-Feb-06,3020.00
06-Mar-06,2909.12
22-Mar-06,2833.37
07-Apr-06,2760.69
23-Apr-06,2649.42
09-May-06,2513.17
25-May-06,3077.07
10-Jun-06,3761.38
26-Jun-06,3051.19
12-Jul-06,3476.43
28-Jul-06,1925.55
13-Aug-06,4025.98
29-Aug-06,6010.27
14-Sep-06,4720.68
30-Sep-06,6135.59
16-Oct-06,5713.75
01-Nov-06,5138.95
17-Nov-06,4767.39
03-Dec-06,4542.66
19-Dec-06,4172.46
01-Jan-07,3908.72
17-Jan-07,3633.10
02-Feb-07,3382.87
18-Feb-07,3097.57
06-Mar-07,2849.74
22-Mar-07,2775.54
07-Apr-07,2707.94
23-Apr-07,2736.68
09-May-07,2673.89
25-May-07,3013.54
10-Jun-07,3072.00
26-Jun-07,3193.29
12-Jul-07,3243.83
28-Jul-07,3369.33
13-Aug-07,4152.03
29-Aug-07,4434.50
14-Sep-07,5569.35
30-Sep-07,5633.22
16-Oct-07,4535.39
01-Nov-07,4595.72
17-Nov-07,4339.04
03-Dec-07,3979.56
19-Dec-07,3923.16
01-Jan-08,3553.03
17-Jan-08,3283.31
02-Feb-08,3094.28
18-Feb-08,2929.27
05-Mar-08,2766.84
21-Mar-08,2808.18
06-Apr-08,2768.57
22-Apr-08,2557.54
08-May-08,2556.16
24-May-08,2576.55
09-Jun-08,1944.43
25-Jun-08,2261.31
11-Jul-08,2534.78
27-Jul-08,1337.27
12-Aug-08,4585.95
28-Aug-08,4999.26
13-Sep-08,5214.54
29-Sep-08,5447.42
15-Oct-08,5119.29
31-Oct-08,4275.72
16-Nov-08,4251.20
02-Dec-08,4261.18
18-Dec-08,4068.42
01-Jan-09,3822.21
17-Jan-09,3455.10
02-Feb-09,3219.53
18-Feb-09,2865.67
06-Mar-09,2793.78
22-Mar-09,2700.26
07-Apr-09,2655.42
23-Apr-09,2510.10
09-May-09,2491.46
25-May-09,2763.36
10-Jun-09,2860.02
26-Jun-09,1968.84
12-Jul-09,2966.27
28-Jul-09,3931.77
13-Aug-09,3475.25
29-Aug-09,3749.74
14-Sep-09,6197.54
30-Sep-09,5972.54
16-Oct-09,5211.92
01-Nov-09,4676.48
17-Nov-09,4866.71
03-Dec-09,4795.22
19-Dec-09,4570.27
01-Jan-10,4289.42
17-Jan-10,4046.32
02-Feb-10,3541.83
18-Feb-10,3397.62
06-Mar-10,3125.79
22-Mar-10,2919.93
07-Apr-10,2926.39
23-Apr-10,2906.57
09-May-10,2791.61
25-May-10,2882.51
10-Jun-10,3305.63
26-Jun-10,3334.92
12-Jul-10,3330.52
28-Jul-10,3877.66
13-Aug-10,3023.16
29-Aug-10,4701.10
14-Sep-10,5927.65
30-Sep-10,6030.39
16-Oct-10,5690.57
01-Nov-10,5539.53
17-Nov-10,5406.83
03-Dec-10,4923.66
19-Dec-10,4687.07
