Day,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,15.37433778504551,0.0,1.2777810598684018,0.10926474085876778,12.515055665544839,2.9438776547287775,42.183245899608885,19.751980736119872,3.9758126202153132,2.6300497554534923,3.5144164417119717,2.177083029256892,0.0,11.859280831447068,0.005883802482308911,0.004397279738629145,0.19875695486646805,49.826657305838296,43.905727692119044,0.0477904272694701,74.85281686560036
2,25.502878140212346,0.00014523777907600425,4.220667032350671,0.0,22.543468753639544,1.0463361905893096,26.353338816839315,11.0792708784556,0.0,1.1719882072444912,8.421055696220384,84.42849941233541,0.0,16.284239936138366,33.91573387122813,0.0021908840408187157,12.522181351258801,2.3899527804283185,23.800238482133413,3.121408356911303,52.7733005643338
3,64.14465741994786,0.0,1.889529856965554,0.0,4.714950328640583,0.0,7.582777308296408,6.466491061643317,54.36777390924352,0.006622527834136296,0.6973121218605122,89.51442444105366,0.02011400893468572,25.7223374246227,8.759750362717128,0.20304238237977806,31.391714286116933,67.12546865840862,12.307537675446213,0.2108561115777185,152.81091792175187
4,28.498881473082207,0.005738006432553632,1.0563981818969934,0.0,12.307871900377489,0.008006794648825716,2.6221436611822826,3.5748206640708053,13.88128444973875,0.006538529024947202,0.0,10.730215693009049,4.947250085064291,37.20304245929145,41.51519552867339,26.10290431425504,90.68114444235478,4.868929918019204,11.651495114685723,0.6812003387812521,32.5449836774536
5,76.21672737098199,0.010320577714106292,0.0,0.0,45.215896513578066,0.0,0.23694201383144933,27.284739080039127,0.2785808565191929,16.298508670828078,0.0,24.84879989290376,47.25469808721318,8.47002648793235,12.161329042639206,61.990928092144415,15.630116957585113,4.68764447997799,1.6584868274805618,0.031159564408522633,0.04325049703941562
6,55.02604854219978,10.40469723914107,0.0,0.0,4.850776051918554,0.0,0.021724589202017374,11.078227397728812,38.82042096834573,81.79666033326187,0.03777026005413171,5.835424015111988,18.822253640630528,99.0375447484613,7.049078503368439,1.3990632505920886,4.282994134282912,17.504431820815956,92.64659470348137,0.7866991066253499,0.10764875646917234
7,57.9038396239798,121.52157304495739,0.033507179880208196,0.0,10.760878727066643,0.01812536972805726,0.08431721721229628,7.421082166553561,14.97833902808777,12.710837218296547,1.0164848266529531,0.17939636464123865,3.8769908296082782,8.330028351440404,1.166438734418918,43.59754198286912,0.147538600249676,1.9979347203719369,5.429148323166843,16.496007382238144,0.050784211455134405
8,31.559427488153233,2.3223841226026285,2.5869620918107556,2.6544056905113704,2.0286989045184676,0.10250857654207995,0.2128093695002725,67.8668818343203,32.380640682538626,0.028024352109522744,2.15941209118328,5.986000766438622,11.47263638042836,22.446017651672243,0.07873934993050764,6.348574725726778,5.785903578837675,0.9050432925754398,83.82461267904698,4.727964519438178,0.05639428220468689
9,8.962903012248145,25.71408675931004,17.27270647177442,34.36237175394683,10.763544220024883,0.0,0.17211177308755296,1.7816928160145415,19.024144470761662,2.3420130134804365e-06,10.505394311703922,38.122692473004555,3.0481845480059877,14.30417853201249,14.982393728191026,11.968623646896878,5.627166335336136,25.666545372235746,3.459139332760027,65.00282962095895,3.2019964344762517
10,13.547698417832713,1.6294545539625145,39.92014453622271,74.52666725976802,0.5410825121841708,47.062465949617035,0.011612909774118036,0.06917716483918034,7.310154721873347,0.09651956674761615,49.719764176334664,125.10842699828697,6.3268966720959785,35.64670935280854,1.4447221397896277,5.063328992530285,1.6933813366044936,10.529360798476226,2.6777616230406287,24.86341062151055,15.544764588875212
11,0.012480494636745556,9.776441405220188,91.94590062909053,10.133417338019989,0.5957719807431612,4.801571121701573,0.0,0.0,5.8930007983050405,0.8749137164502688,196.7212287621922,40.913354211322186,1.4559560055122454,2.4318944819890858,1.2826775750712922,9.450764365124053,0.6389227597520116,29.59663623981791,0.6342771337000086,1.9800662653050092,4.007845621639367
12,0.04954115408753787,7.356523304144187,2.7582231067611023,12.85106724555671,3.1493131138926533,3.910280865609904,0.0,5.743433591343712,15.742310380964375,0.00227112414908528,65.58351880795647,6.319809469659505,0.2538404982245306,4.123726803930295,0.6389369322666352,22.430460012012816,0.0017332094086150549,124.39235139166401,0.0013755683239704349,3.4200241565995975,10.20497314314314
13,1.769709611693819,17.372927718992816,67.73706891510643,7.722037976971982,22.702581946578274,46.7904978650056,0.00530531121152959,23.05128983576163,6.755619162543424,0.11841838655150382,10.469227160829146,1.4882465048977729,0.1627616392398405,4.25228792033521,0.9198754896903029,2.3145874277725604,0.04528837245411018,25.294962377204115,0.023425620952655074,8.200283987932126,25.480408122558575
14,0.18237071966489699,86.71649277437191,12.836369228781855,24.658146234710447,243.4344366949647,39.2442546144194,1.5589982893757914,30.20705638516763,72.77908814226718,0.09837716757465419,59.77392742515688,3.5795170763683486,1.9544951170112614,20.644249134256913,6.558233083684871,7.216176753400302,0.0,44.65143722275427,0.02262587300425245,0.5628998437826415,10.773272496352602
15,0.03489736700962841,35.7378471389553,29.12859309751864,92.97476670112887,108.06274478720471,0.00019371071481135183,0.8867509499240823,1.1374096161301688,2.619435291586953,0.05439232742387645,64.99471868248064,2.353596180643781,4.475074674096327,186.92748483604063,4.346459161257786,4.067625344739777,0.00015818232807709062,11.828234031942293,1.072719031444694,0.2984140516119651,23.465499714020343
